
2022/03/10 (19:21:42) | ===> btop++ v.1.0.19
2022/03/10 (19:21:42) | ERROR: Failed to join _runner thread!

2022/03/10 (19:27:17) | ===> btop++ v.1.0.19
2022/03/10 (19:27:17) | ERROR: Failed to join _runner thread!

2022/03/10 (19:37:51) | ===> btop++ v.1.0.19
2022/03/10 (19:37:51) | ERROR: Failed to join _runner thread!

2022/03/10 (21:23:49) | ===> btop++ v.1.0.19
2022/03/10 (21:23:49) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:23:54) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:24:00) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:24:05) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:24:11) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:24:16) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:24:22) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:24:27) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:24:33) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:24:38) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:24:44) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:24:49) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:24:55) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:25:00) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:25:06) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:25:11) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:25:17) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:25:22) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:25:28) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:25:33) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:25:39) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:25:44) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:25:50) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:25:55) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:26:01) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:26:06) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:26:12) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:26:17) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:26:23) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:26:28) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:26:34) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:26:39) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:26:45) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:26:50) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:26:56) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:27:01) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:27:07) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:27:12) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:27:18) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:27:24) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:27:29) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:27:35) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:27:40) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:27:46) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:27:51) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:27:57) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:28:02) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:28:08) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:28:13) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:28:19) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:28:24) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:28:30) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:28:35) | ERROR: Stall in Runner thread, restarting!
2022/03/10 (21:28:41) | ERROR: Stall in Runner thread, restarting!

2022/03/11 (11:58:30) | ===> btop++ v.1.0.19
2022/03/11 (11:58:31) | ERROR: Stall in Runner thread, restarting!
2022/03/11 (11:58:40) | ERROR: Stall in Runner thread, restarting!
2022/03/11 (12:27:33) | INFO: Logger set to INFO
2022/03/11 (12:27:36) | INFO: Logger set to DEBUG
2022/03/11 (12:27:36) | INFO: Logger set to INFO

2022/03/11 (21:57:33) | ===> btop++ v.1.0.19
2022/03/11 (21:57:33) | ERROR: Failed to join _runner thread!

2022/03/11 (22:01:07) | ===> btop++ v.1.0.19
2022/03/11 (22:01:07) | ERROR: Failed to join _runner thread!

2022/03/11 (22:36:21) | ===> btop++ v.1.0.19
2022/03/11 (22:36:21) | ERROR: Failed to join _runner thread!

2022/03/12 (15:50:47) | ===> btop++ v.1.0.19
2022/03/12 (15:50:47) | ERROR: Failed to join _runner thread!

2022/03/16 (14:53:09) | ===> btop++ v.1.0.19
2022/03/16 (14:53:09) | ERROR: Failed to join _runner thread!

2022/03/18 (20:50:14) | ===> btop++ v.1.0.19
2022/03/18 (20:50:14) | ERROR: Failed to join _runner thread!

2022/03/19 (00:40:49) | ===> btop++ v.1.0.19
2022/03/19 (00:40:49) | ERROR: Failed to join _runner thread!

2022/03/19 (00:40:59) | ===> btop++ v.1.0.19
2022/03/19 (00:40:59) | ERROR: Failed to join _runner thread!

2022/03/19 (17:20:22) | ===> btop++ v.1.0.19
2022/03/19 (17:20:22) | ERROR: Failed to join _runner thread!

2022/03/19 (17:21:42) | ===> btop++ v.1.0.19
2022/03/19 (17:21:42) | ERROR: Failed to join _runner thread!

2022/03/19 (17:21:45) | ===> btop++ v.1.0.19
2022/03/19 (17:21:45) | ERROR: Failed to join _runner thread!

2022/03/19 (17:21:50) | ===> btop++ v.1.0.19
2022/03/19 (17:21:50) | ERROR: Failed to join _runner thread!

2022/03/19 (17:22:01) | ===> btop++ v.1.0.19
2022/03/19 (17:22:01) | ERROR: Failed to join _runner thread!

2022/03/19 (18:25:21) | ===> btop++ v.1.0.19
2022/03/19 (18:25:21) | ERROR: Failed to join _runner thread!

2022/03/19 (18:26:01) | ===> btop++ v.1.0.19
2022/03/19 (18:26:01) | ERROR: Failed to join _runner thread!

2022/03/19 (18:42:35) | ===> btop++ v.1.0.19
2022/03/19 (18:42:35) | ERROR: Failed to join _runner thread!

2022/03/19 (18:54:05) | ===> btop++ v.1.0.19
2022/03/19 (18:54:05) | ERROR: Failed to join _runner thread!

2022/03/20 (15:12:14) | ===> btop++ v.1.0.19
2022/03/20 (15:12:14) | ERROR: Failed to join _runner thread!

2022/03/20 (15:20:12) | ===> btop++ v.1.0.19
2022/03/20 (15:20:12) | ERROR: Failed to join _runner thread!

2022/03/20 (15:39:21) | ===> btop++ v.1.0.19
2022/03/20 (15:39:21) | ERROR: Failed to join _runner thread!

2022/03/20 (16:00:14) | ===> btop++ v.1.0.19
2022/03/20 (16:00:14) | ERROR: Failed to join _runner thread!

2022/03/20 (18:09:48) | ===> btop++ v.1.0.19
2022/03/20 (18:09:48) | ERROR: Failed to join _runner thread!

2022/03/20 (18:15:55) | ===> btop++ v.1.0.19
2022/03/20 (18:15:55) | ERROR: Failed to join _runner thread!

2022/03/20 (18:17:59) | ===> btop++ v.1.0.19
2022/03/20 (18:17:59) | ERROR: Failed to join _runner thread!

2022/03/20 (18:22:34) | ===> btop++ v.1.0.19
2022/03/20 (18:22:34) | ERROR: Failed to join _runner thread!

2022/03/20 (22:49:18) | ===> btop++ v.1.0.19
2022/03/20 (22:49:18) | ERROR: Failed to join _runner thread!

2022/03/21 (22:32:01) | ===> btop++ v.1.0.19
2022/03/21 (22:32:01) | ERROR: Failed to join _runner thread!

2022/03/21 (23:29:45) | ===> btop++ v.1.0.19
2022/03/21 (23:29:45) | ERROR: Failed to join _runner thread!

2022/03/22 (15:51:20) | ===> btop++ v.1.0.19
2022/03/22 (15:51:20) | ERROR: Failed to join _runner thread!

2022/03/24 (13:44:30) | ===> btop++ v.1.0.19
2022/03/24 (13:44:30) | ERROR: Failed to join _runner thread!

2022/03/24 (15:22:44) | ===> btop++ v.1.0.19
2022/03/24 (15:22:44) | ERROR: Failed to join _runner thread!

2022/03/24 (16:02:11) | ===> btop++ v.1.0.19
2022/03/24 (16:02:11) | ERROR: Failed to join _runner thread!

2022/03/24 (16:04:47) | ===> btop++ v.1.0.19
2022/03/24 (16:04:47) | ERROR: Failed to join _runner thread!

2022/03/24 (16:06:13) | ===> btop++ v.1.0.19
2022/03/24 (16:06:13) | ERROR: Failed to join _runner thread!

2022/03/24 (16:26:10) | ===> btop++ v.1.0.19
2022/03/24 (16:26:10) | ERROR: Failed to join _runner thread!

2022/03/24 (16:53:58) | ===> btop++ v.1.0.19
2022/03/24 (16:53:58) | ERROR: Failed to join _runner thread!
